Date,CME,ICE,MCO,MSCI,NDAQ,SPGI
2025-05-07,283.52178955078125,176.0568389892578,466.12554931640625,549.1881103515625,78.32588195800781,504.7704162597656
2025-05-08,280.7046813964844,175.9969940185547,469.9114074707031,554.4646606445312,78.75454711914062,506.6668701171875
2025-05-09,283.0539245605469,177.85202026367188,468.9151306152344,553.0536499023438,78.9638900756836,506.78668212890625
2025-05-12,269.2371826171875,172.97512817382812,485.2440185546875,565.3854370117188,80.49910736083984,517.3969116210938
2025-05-13,267.11688232421875,172.37672424316406,482.892822265625,560.3175659179688,81.31655883789062,514.6121215820312
2025-05-14,265.0662841796875,171.47914123535156,477.26385498046875,563.010498046875,80.80814361572266,510.9888610839844
2025-05-15,272.7510986328125,174.38134765625,485.51300048828125,571.7848510742188,81.02745819091797,518.3152465820312
2025-05-16,275.0306701660156,175.777587890625,488.0184631347656,570.3992919921875,81.64553833007812,521.4893188476562
2025-05-19,276.67315673828125,176.2762451171875,491.21270751953125,570.8279418945312,81.7053451538086,523.3059692382812
2025-05-20,276.60345458984375,175.81747436523438,486.1119079589844,569.3925170898438,81.57575225830078,521.9683837890625
2025-05-21,280.455810546875,174.25169372558594,471.9275207519531,558.31787109375,80.38945007324219,509.3219299316406
2025-05-22,280.7146301269531,173.5336151123047,470.9093933105469,562.0858154296875,80.95767974853516,510.3699951171875
2025-05-23,282.77520751953125,175.64793395996094,468.80316162109375,556.8923950195312,81.52590942382812,509.0724182128906
2025-05-27,283.0638732910156,178.0614471435547,480.37225341796875,564.7872314453125,82.80192565917969,515.739990234375
2025-05-28,284.676513671875,177.3234405517578,477.647216796875,560.8896484375,82.29351806640625,511.4800109863281
2025-05-29,284.5669860839844,178.0514678955078,480.7715759277344,564.1990966796875,83.12093353271484,514.0999755859375
2025-05-30,287.6827392578125,179.3180694580078,478.45574951171875,562.2254028320312,83.28044128417969,512.8599853515625
2025-06-02,289.3849182128906,179.83668518066406,479.06463623046875,562.4048461914062,83.739013671875,513.5900268554688
2025-06-03,281.0232238769531,178.8592987060547,481.2007751464844,564.6077880859375,83.54959869384766,512.2999877929688
2025-06-04,276.6134338378906,178.64987182617188,484.6445617675781,565.1061401367188,83.60942077636719,513.9400024414062
